Bundesland;Landkreis;Verwaltung;man;woman;older75;catholic;evangelic
1;53;Gemeinde;5714;6152;1160;1019;4678
1;53;Gemeindeverband;4138;4299;627;407;5114
1;53;Gemeinde;195;189;32;18;247
1;53;Gemeinde;1025;1051;192;94;1309
1;53;Gemeinde;327;360;44;32;389
1;53;Gemeinde;77;75;19;0;105
1;53;Gemeinde;124;111;13;9;164
1;53;Gemeinde;584;584;69;61;640
1;53;Gemeinde;316;305;29;29;403
1;53;Gemeinde;815;920;157;82;1047
1;53;Gemeinde;93;101;9;19;105
1;53;Gemeinde;409;427;45;45;477
1;53;Gemeinde;173;176;18;18;228
1;53;Gemeindeverband;3070;3164;466;231;3725
1;53;Gemeinde;412;440;59;57;471
1;53;Gemeinde;116;133;42;6;148
1;53;Gemeinde;141;143;12;12;173
1;53;Gemeinde;919;916;134;50;1233
1;53;Gemeinde;197;221;34;18;239
1;53;Gemeinde;96;91;6;4;68
1;53;Gemeinde;221;243;34;17;307
1;53;Gemeinde;320;333;41;35;379
1;53;Gemeinde;238;258;34;17;284
1;53;Gemeinde;261;250;31;6;266
1;53;Gemeinde;149;136;39;9;157
1;53;Gemeindeverband;6683;6927;1256;588;7700
1;53;Gemeinde;39;41;3;6;62
1;53;Gemeinde;138;139;25;6;158
1;53;Gemeinde;2773;2903;535;263;3176
1;53;Gemeinde;169;158;16;12;185
1;53;Gemeinde;28;27;3;0;30
1;53;Gemeinde;818;847;161;58;1096
1;53;Gemeinde;628;646;119;51;565
1;53;Gemeinde;308;301;42;21;301
1;53;Gemeinde;88;79;12;7;93
1;53;Gemeinde;498;507;90;67;548
1;53;Gemeinde;250;261;43;33;302
1;53;Gemeinde;244;223;19;13;256
1;53;Gemeinde;140;135;23;3;178
1;53;Gemeinde;164;172;20;9;215
1;53;Gemeinde;398;488;145;39;535
1;53;Gemeindeverband;9330;9651;1671;1343;8315
1;53;Gemeinde;1466;1696;497;304;1611
1;53;Gemeinde;2110;2134;298;302;1648
1;53;Gemeinde;1542;1545;221;149;1302
1;53;Gemeinde;1661;1684;118;204;1257
1;53;Gemeinde;382;370;62;29;464
1;53;Gemeinde;254;252;27;36;244
1;53;Gemeinde;564;560;89;96;426
1;53;Gemeinde;85;79;16;6;97
1;53;Gemeinde;1187;1243;333;207;1162
1;53;Gemeinde;79;88;10;10;104
1;53;Gemeindeverband;1946;1987;284;136;2206
1;53;Gemeinde;340;306;34;22;317
1;53;Gemeinde;75;94;15;9;107
1;53;Gemeinde;176;184;22;9;207
1;53;Gemeinde;82;96;21;16;77
1;53;Gemeinde;193;175;24;16;231
1;53;Gemeinde;89;80;13;12;105
1;53;Gemeinde;133;140;21;0;172
1;53;Gemeinde;352;368;49;28;444
1;53;Gemeinde;391;431;66;21;410
1;53;Gemeinde;115;113;19;3;136
1;53;Gemeindeverband;6422;6582;1245;746;7925
1;53;Gemeinde;40;27;15;0;46
1;53;Gemeinde;400;456;73;68;517
1;53;Gemeinde;85;73;12;12;64
1;53;Gemeinde;113;128;15;31;136
1;53;Gemeinde;188;193;19;21;191
1;53;Gemeinde;27;15;0;12;9
1;53;Gemeinde;58;63;7;0;66
1;53;Gemeinde;46;41;12;0;65
1;53;Gemeinde;1753;1818;401;247;2074
1;53;Gemeinde;442;445;63;42;467
1;53;Gemeinde;144;140;27;24;185
1;53;Gemeinde;226;216;29;22;293
1;53;Gemeinde;122;121;31;9;188
1;53;Gemeinde;131;108;24;9;144
1;53;Gemeinde;118;124;19;15;170
1;53;Gemeinde;99;112;16;12;110
1;53;Gemeinde;61;49;3;6;82
1;53;Gemeinde;370;394;93;28;474
1;53;Gemeinde;187;184;24;12;218
1;53;Gemeinde;27;24;0;0;30
1;53;Gemeinde;290;295;75;27;358
1;53;Gemeinde;280;277;51;50;364
1;53;Gemeinde;269;280;83;28;377
1;53;Gemeinde;474;480;61;40;652
1;53;Gemeinde;472;519;92;31;645
1;53;Gemeindeverband;4496;4535;693;370;4747
1;53;Gemeinde;210;186;32;30;236
1;53;Gemeinde;327;317;55;31;341
1;53;Gemeinde;87;76;13;3;100
1;53;Gemeinde;436;442;41;42;400
1;53;Gemeinde;140;141;25;13;180
1;53;Gemeinde;141;152;21;6;170
1;53;Gemeinde;75;77;18;3;106
1;53;Gemeinde;130;116;15;7;150
1;53;Gemeinde;636;595;95;56;652
1;53;Gemeinde;224;242;46;24;233
1;53;Gemeinde;71;88;25;0;91
1;53;Gemeinde;112;103;6;0;113
1;53;Gemeinde;278;279;32;30;245
1;53;Gemeinde;132;144;9;16;109
1;53;Gemeinde;288;329;49;30;341
1;53;Gemeinde;649;696;126;67;641
1;53;Gemeinde;270;278;35;0;324
1;53;Gemeinde;105;84;12;0;118
1;53;Gemeinde;185;190;38;12;197
1;53;Gemeindeverband;7522;7605;1059;537;8472
1;53;Gemeinde;248;284;53;18;352
1;53;Gemeinde;155;151;74;21;213
1;53;Gemeinde;104;96;10;9;96
1;53;Gemeinde;264;276;35;26;300
1;53;Gemeinde;285;303;28;18;325
1;53;Gemeinde;389;386;37;20;444
1;53;Gemeinde;183;194;32;12;236
1;53;Gemeinde;437;437;41;45;445
1;53;Gemeinde;246;239;43;12;289
1;53;Gemeinde;602;584;81;34;611
1;53;Gemeinde;144;142;6;6;157
1;53;Gemeinde;525;558;96;45;650
1;53;Gemeinde;320;318;48;18;354
1;53;Gemeinde;160;177;45;9;204
1;53;Gemeinde;136;138;13;9;194
1;53;Gemeinde;838;856;132;62;873
1;53;Gemeinde;302;312;22;9;303
1;53;Gemeinde;692;698;65;44;748
1;53;Gemeinde;72;75;12;12;84
1;53;Gemeinde;328;310;32;24;408
1;53;Gemeinde;163;149;26;6;177
1;53;Gemeinde;293;278;36;18;341
1;53;Gemeinde;194;210;25;24;221
1;53;Gemeinde;92;94;11;7;82
1;53;Gemeinde;350;340;56;29;365
1;54;Stadtkreis/kreisfreie Stadt/Landkreis;79541;84124;15441;8818;107248
1;54;Gemeinde;1219;1371;301;151;1544
1;54;Gemeinde;10514;11701;2415;1331;13350
1;54;Gemeinde;190;159;13;10;257
1;54;Gemeinde;2418;2536;546;234;3240
1;54;Gemeinde;6539;7273;1410;1244;6920
1;54;Gemeindeverband;5437;5893;1247;693;7312
1;54;Gemeinde;189;196;25;12;256
1;54;Gemeinde;1177;1327;286;134;1741
1;54;Gemeinde;9;15;3;0;15
1;54;Gemeinde;80;98;9;9;133
1;54;Gemeinde;123;105;16;9;177
1;54;Gemeinde;27;19;3;0;33
1;54;Gemeinde;645;631;120;56;933
1;54;Gemeinde;122;132;35;6;167
1;54;Gemeinde;118;120;12;21;152
1;54;Gemeinde;1830;2086;473;341;2166
1;54;Gemeinde;456;496;102;51;596
1;54;Gemeinde;319;340;113;24;454
1;54;Gemeinde;62;51;14;6;80
1;54;Gemeinde;107;98;13;15;139
1;54;Gemeinde;114;113;10;6;176
1;54;Gemeinde;59;66;13;3;94
