age,sex,educ,income,eastwest,happiness,health,lived_abroad
40,1,2,4000,1,8,4,0
18,0,2,450,1,0,1,0
76,0,2,1800,0,7,2,0
63,0,3,1875,0,9,4,0
58,1,3,3500,1,7,3,0
55,0,3,1000,1,9,4,0
66,1,2,3000,1,8,3,0
29,1,2,1600,1,8,4,1
20,0,5,800,1,8,4,0
48,1,5,3000,0,9,4,0
80,1,2,2000,1,10,4,1
61,0,4,1500,1,5,3,1
72,1,4,1500,0,5,4,0
65,0,5,1500,0,8,5,0
53,0,5,3000,0,8,4,0
32,1,2,2250,1,10,4,0
58,1,2,1400,1,0,3,0
28,1,5,700,0,8,5,0
48,1,3,1200,0,8,3,0
29,1,5,2500,1,9,5,0
66,1,3,563,0,7,3,0
68,1,3,1600,1,6,3,0
52,0,5,2500,1,8,4,0
33,1,5,3400,1,10,5,1
73,0,3,1300,1,8,3,0
34,1,5,100,1,7,2,1
24,1,5,1000,1,8,4,1
54,0,5,500,1,10,3,0
46,1,3,2300,1,9,4,0
67,1,3,1200,0,9,4,0
49,0,5,2500,1,7,4,1
33,1,5,2375,1,8,4,0
48,1,3,2700,1,7,2,1
40,1,5,5200,0,5,3,0
40,0,5,1187,1,10,3,0
35,0,5,1900,0,8,3,0
83,0,2,1400,1,8,1,0
76,0,5,1260,0,8,3,0
73,1,3,850,0,3,3,0
39,0,5,3500,1,6,4,0
43,1,3,1100,1,7,3,0
81,1,2,1221,0,8,3,0
20,1,3,700,1,8,3,0
37,1,4,4200,1,9,5,1
54,1,4,3550,1,8,4,0
67,1,3,2500,0,8,4,0
53,1,5,3500,0,8,4,1
64,0,2,2000,1,8,4,0
76,1,5,1063,0,6,4,1
40,0,3,700,0,6,3,0
42,0,4,1800,1,9,2,1
57,1,3,2000,0,8,4,0
64,0,2,1260,1,5,2,0
41,0,3,625,1,7,3,0
74,1,2,1800,1,10,5,0
48,0,3,1600,1,5,2,1
29,1,5,800,1,9,5,0
30,1,5,1700,0,8,4,0
23,0,2,267,1,9,4,0
75,0,2,900,1,8,4,0
43,0,3,2100,1,8,4,0
27,0,5,1400,0,8,4,0
71,1,2,720,1,5,4,0
29,0,5,650,0,8,5,0
54,1,3,724,1,0,1,1
34,0,4,1100,1,8,3,1
50,1,3,3000,1,9,5,0
64,1,5,3500,0,9,4,0
73,0,2,110,1,6,3,0
22,1,3,500,1,10,5,1
44,0,5,1063,1,10,5,0
54,1,5,6000,1,9,4,1
52,0,3,1234,0,9,4,0
47,0,5,3200,1,9,4,0
27,0,4,2100,1,8,5,0
35,0,2,2000,1,10,4,0
62,1,5,4005,1,9,4,1
66,0,5,875,1,7,3,1
61,1,3,2375,1,8,3,0
75,0,2,900,1,5,3,0
48,0,2,700,1,10,5,0
48,1,5,3800,0,8,4,0
82,0,2,1100,0,7,4,0
75,1,2,1500,0,8,3,0
48,1,5,2200,0,7,4,1
39,0,5,1188,1,10,5,0
31,1,2,1625,0,3,3,0
73,0,2,291,1,9,4,0
28,1,3,1550,0,8,4,0
20,1,4,700,1,9,4,0
76,0,2,670,0,6,3,0
53,0,5,2800,0,10,5,0
75,0,2,1200,0,5,3,0
31,1,3,1600,1,10,5,1
53,0,3,1200,0,8,4,0
24,0,5,180,1,8,5,0
26,1,5,400,0,10,5,0
30,0,5,2080,0,9,3,1
51,1,5,4000,1,7,2,1
25,1,2,1400,1,7,4,0
52,1,5,2500,1,9,4,0
45,0,5,1800,1,7,3,1
68,1,5,3100,1,10,5,1
27,0,5,400,1,7,5,1
31,0,5,1600,1,9,4,0
42,0,3,1063,1,8,3,0
76,1,2,1200,1,6,3,0
52,0,3,1800,1,8,4,0
48,0,3,1188,0,9,4,0
65,1,3,2625,1,7,3,0
40,1,3,2000,1,6,2,0
57,1,5,3000,1,6,3,0
50,1,3,3000,1,5,4,0
48,1,3,3000,1,9,5,0
38,0,2,550,0,5,4,0
54,1,3,2875,1,10,5,0
34,0,5,1500,0,7,4,0
76,1,2,1477,1,4,1,1
53,0,2,1000,1,8,3,0
60,1,5,3400,1,8,3,0
34,0,3,1313,0,9,4,0
88,1,5,3000,1,10,5,0
44,1,3,3200,1,9,4,0
86,1,3,1700,0,7,3,0
67,0,2,450,1,10,4,0
59,0,5,1400,0,8,4,0
53,0,4,1200,0,7,3,0
48,0,4,2200,1,9,3,0
85,0,2,1450,1,4,1,0
46,1,5,2800,1,8,4,0
59,1,3,2375,1,9,3,0
74,1,2,1150,0,8,5,0
51,1,2,1700,1,10,3,0
83,0,2,1400,1,9,5,0
57,0,3,2375,1,6,3,0
61,0,4,1700,1,9,3,0
29,0,5,4000,1,9,4,1
90,1,2,1800,1,8,3,0
45,0,5,1650,1,7,5,0
72,1,2,1100,0,8,4,0
49,1,5,1200,1,7,4,0
82,1,3,1600,1,8,3,1
55,1,2,1300,1,8,3,0
78,0,2,1500,1,5,2,0
39,1,2,1400,1,6,3,1
52,1,3,3000,1,9,5,0
65,0,3,500,1,10,4,0
59,0,3,2200,1,7,5,1
69,0,4,900,0,8,4,0
52,1,5,4200,1,9,5,0
80,1,2,1800,1,8,2,1
73,0,3,1300,1,8,3,0
29,1,3,2000,0,9,5,0
39,1,5,1200,1,7,4,0
44,1,5,3000,0,8,4,1
61,0,2,420,1,8,4,0
51,0,5,1900,1,9,5,0
56,1,5,1875,0,9,4,0
63,1,3,1000,0,10,3,0
42,0,5,2400,1,8,2,0
32,0,2,700,1,6,4,0
73,0,3,813,0,8,4,1
38,0,5,3225,1,8,4,0
80,0,2,1400,1,6,1,0
52,1,5,3000,1,9,4,1
32,0,5,3200,1,9,4,1
50,0,3,1400,1,6,3,0
79,0,2,920,0,6,4,0
45,1,3,1500,0,3,3,0
54,0,4,2100,1,6,3,1
66,0,3,1800,1,8,3,0
76,0,5,30,1,10,5,1
50,1,3,1600,0,7,4,0
28,0,3,1800,1,10,5,0
80,0,5,1200,1,9,5,0
53,1,2,1500,1,10,4,0
80,0,2,900,0,5,2,0
39,0,3,800,1,7,3,1
65,1,2,1800,1,8,4,0
29,0,3,1100,0,6,5,0
59,0,3,1300,0,8,5,0
58,1,3,3500,1,9,4,0
61,1,2,830,1,7,1,0
53,1,4,3500,1,9,4,0
56,0,2,2500,1,9,4,0
36,1,3,1680,0,8,3,0
38,1,3,1600,0,8,4,0
81,1,2,1313,0,6,2,0
49,1,2,2625,1,7,2,0
81,1,2,1500,1,6,4,0
50,0,3,1200,1,8,5,0
34,0,5,630,0,3,1,0
46,1,5,3000,1,8,3,0
23,1,5,400,0,8,5,1
39,0,3,700,1,7,4,0
45,1,3,2700,0,8,3,0
35,0,5,2800,1,10,5,1
54,1,4,1800,1,9,3,1
53,1,3,1500,0,9,4,0
66,0,3,240,1,9,3,0
50,0,5,3100,1,8,3,0
56,0,3,730,1,1,1,0
54,0,3,600,1,8,5,0
77,0,2,1400,0,10,5,0
78,1,3,1200,0,7,2,0
68,1,3,2200,1,9,4,0
63,0,2,700,1,8,3,0
32,0,3,750,1,9,5,0
20,0,5,400,1,9,5,0
20,1,3,270,1,8,3,0
59,1,3,1100,1,9,4,0
75,0,5,2600,1,10,4,1
26,0,5,450,1,9,3,0
76,1,5,2500,0,7,2,0
26,0,5,120,1,7,5,0
56,0,5,2500,1,10,4,0
71,0,3,1188,1,8,4,0
54,1,3,415,0,8,4,0
84,0,3,1397,0,8,3,0
74,1,2,905,0,10,4,0
56,1,4,600,1,5,3,0
65,1,1,1050,0,5,3,0
41,1,5,2800,0,8,4,0
48,0,5,4000,0,8,5,1
69,1,4,1500,1,9,5,0
39,1,3,2000,1,10,5,1
59,1,5,2500,1,3,4,0
26,0,4,400,1,8,3,0
30,1,3,700,0,3,2,0
66,1,5,3400,1,8,4,0
38,1,3,3500,1,8,3,1
35,0,3,1800,1,5,2,0
53,0,3,450,0,8,3,0
46,1,5,4000,1,8,5,1
73,0,5,350,1,8,3,0
58,0,2,1500,1,4,2,0
49,1,5,3100,0,8,4,0
33,1,5,6250,0,9,5,1
52,1,2,3500,1,8,4,0
53,1,3,350,1,4,2,0
74,0,2,1200,0,8,4,0
71,1,2,1625,1,5,3,0
48,0,5,2400,1,8,3,0
28,0,5,450,1,9,5,1
79,1,5,1600,0,9,5,1
28,1,3,1500,0,10,5,0
40,1,3,1700,0,3,4,0
66,0,2,220,1,8,4,0
28,1,5,1100,0,8,4,0
32,0,5,3300,1,9,4,1
64,0,5,50,0,10,5,1
57,0,2,1200,1,10,3,0
65,0,3,1100,0,8,4,0
