age,sex,educ,income,eastwest,happiness,health,lived_abroad,spectrum
65,1,2,804,0,8,3,0,0
72,1,1,3300,1,8,0,0,0
56,1,2,640,0,0,0,0,1
51,0,2,5000,0,9,4,0,1
28,1,2,1900,1,9,3,0,1
44,0,1,1100,1,3,1,0,3
45,0,3,2875,1,8,1,0,2
25,1,2,2000,1,9,3,0,3
18,1,2,440,0,8,2,0,2
25,0,4,1500,1,7,4,0,0
28,1,2,2000,1,3,3,0,3
56,1,4,3500,1,9,3,0,1
48,0,2,450,1,8,3,0,2
40,0,3,1700,1,9,2,0,1
72,1,1,820,1,10,3,0,1
82,1,1,1500,1,10,2,0,2
53,0,2,1100,0,8,3,0,1
25,1,2,1600,1,8,3,0,0
84,0,1,1400,0,9,1,0,1
53,0,2,1800,1,9,3,0,2
20,0,4,1400,0,8,4,1,3
40,1,1,4000,1,8,3,0,1
18,0,1,450,1,0,0,0,1
76,0,1,1800,0,7,1,0,1
63,0,2,1875,0,9,3,0,1
58,1,2,3500,1,7,2,0,2
55,0,2,1000,1,9,3,0,1
66,1,1,3000,1,8,2,0,1
29,1,1,1600,1,8,3,1,1
20,0,4,800,1,8,3,0,0
48,1,4,3000,0,9,3,0,1
80,1,1,2000,1,10,3,1,0
61,0,3,1500,1,5,2,1,2
72,1,3,1500,0,5,3,0,2
65,0,4,1500,0,8,4,0,1
53,0,4,3000,0,8,3,0,2
32,1,1,2250,1,10,3,0,0
58,1,1,1400,1,0,2,0,0
28,1,4,700,0,8,4,0,2
48,1,2,1200,0,8,2,0,3
29,1,4,2500,1,9,4,0,2
66,1,2,563,0,7,2,0,3
68,1,2,1600,1,6,2,0,1
52,0,4,2500,1,8,3,0,0
33,1,4,3400,1,10,4,1,1
73,0,2,1300,1,8,2,0,2
34,1,4,100,1,7,1,1,1
24,1,4,1000,1,8,3,1,2
54,0,4,500,1,10,2,0,1
46,1,2,2300,1,9,3,0,1
67,1,2,1200,0,9,3,0,2
49,0,4,2500,1,7,3,1,1
33,1,4,2375,1,8,3,0,1
48,1,2,2700,1,7,1,1,3
40,1,4,5200,0,5,2,0,1
40,0,4,1187,1,10,2,0,1
35,0,4,1900,0,8,2,0,1
83,0,1,1400,1,8,0,0,0
76,0,4,1260,0,8,2,0,0
73,1,2,850,0,3,2,0,2
39,0,4,3500,1,6,3,0,2
43,1,2,1100,1,7,2,0,1
81,1,1,1221,0,8,2,0,1
20,1,2,700,1,8,2,0,0
37,1,3,4200,1,9,4,1,1
54,1,3,3550,1,8,3,0,1
67,1,2,2500,0,8,3,0,1
53,1,4,3500,0,8,3,1,2
64,0,1,2000,1,8,3,0,1
76,1,4,1063,0,6,3,1,2
40,0,2,700,0,6,2,0,3
42,0,3,1800,1,9,1,1,2
57,1,2,2000,0,8,3,0,1
64,0,1,1260,1,5,1,0,0
41,0,2,625,1,7,2,0,1
74,1,1,1800,1,10,4,0,1
48,0,2,1600,1,5,1,1,2
29,1,4,800,1,9,4,0,2
30,1,4,1700,0,8,3,0,2
23,0,1,267,1,9,3,0,0
75,0,1,900,1,8,3,0,1
43,0,2,2100,1,8,3,0,0
27,0,4,1400,0,8,3,0,2
71,1,1,720,1,5,3,0,2
29,0,4,650,0,8,4,0,2
54,1,2,724,1,0,0,1,0
34,0,3,1100,1,8,2,1,0
50,1,2,3000,1,9,4,0,0
64,1,4,3500,0,9,3,0,0
73,0,1,110,1,6,2,0,2
22,1,2,500,1,10,4,1,2
44,0,4,1063,1,10,4,0,0
54,1,4,6000,1,9,3,1,1
52,0,2,1234,0,9,3,0,0
47,0,4,3200,1,9,3,0,0
27,0,3,2100,1,8,4,0,2
35,0,1,2000,1,10,3,0,1
62,1,4,4005,1,9,3,1,2
66,0,4,875,1,7,2,1,2
61,1,2,2375,1,8,2,0,2
75,0,1,900,1,5,2,0,0
48,0,1,700,1,10,4,0,0
48,1,4,3800,0,8,3,0,0
82,0,1,1100,0,7,3,0,2
75,1,1,1500,0,8,2,0,0
48,1,4,2200,0,7,3,1,2
39,0,4,1188,1,10,4,0,3
31,1,1,1625,0,3,2,0,2
73,0,1,291,1,9,3,0,1
28,1,2,1550,0,8,3,0,3
20,1,3,700,1,9,3,0,2
76,0,1,670,0,6,2,0,1
53,0,4,2800,0,10,4,0,1
75,0,1,1200,0,5,2,0,1
31,1,2,1600,1,10,4,1,0
53,0,2,1200,0,8,3,0,1
24,0,4,180,1,8,4,0,1
26,1,4,400,0,10,4,0,0
30,0,4,2080,0,9,2,1,2
51,1,4,4000,1,7,1,1,1
25,1,1,1400,1,7,3,0,3
52,1,4,2500,1,9,3,0,2
45,0,4,1800,1,7,2,1,2
68,1,4,3100,1,10,4,1,2
27,0,4,400,1,7,4,1,0
31,0,4,1600,1,9,3,0,0
42,0,2,1063,1,8,2,0,2
76,1,1,1200,1,6,2,0,3
52,0,2,1800,1,8,3,0,2
48,0,2,1188,0,9,3,0,3
65,1,2,2625,1,7,2,0,2
40,1,2,2000,1,6,1,0,1
57,1,4,3000,1,6,2,0,2
50,1,2,3000,1,5,3,0,1
48,1,2,3000,1,9,4,0,2
38,0,1,550,0,5,3,0,1
54,1,2,2875,1,10,4,0,3
34,0,4,1500,0,7,3,0,1
76,1,1,1477,1,4,0,1,0
53,0,1,1000,1,8,2,0,0
60,1,4,3400,1,8,2,0,1
34,0,2,1313,0,9,3,0,1
88,1,4,3000,1,10,4,0,3
44,1,2,3200,1,9,3,0,2
86,1,2,1700,0,7,2,0,2
67,0,1,450,1,10,3,0,2
59,0,4,1400,0,8,3,0,2
53,0,3,1200,0,7,2,0,0
48,0,3,2200,1,9,2,0,0
85,0,1,1450,1,4,0,0,1
46,1,4,2800,1,8,3,0,1
59,1,2,2375,1,9,2,0,1
74,1,1,1150,0,8,4,0,2
51,1,1,1700,1,10,2,0,0
83,0,1,1400,1,9,4,0,2
57,0,2,2375,1,6,2,0,1
61,0,3,1700,1,9,2,0,2
29,0,4,4000,1,9,3,1,0
90,1,1,1800,1,8,2,0,0
45,0,4,1650,1,7,4,0,2
72,1,1,1100,0,8,3,0,0
49,1,4,1200,1,7,3,0,2
82,1,2,1600,1,8,2,1,3
55,1,1,1300,1,8,2,0,0
78,0,1,1500,1,5,1,0,1
39,1,1,1400,1,6,2,1,0
52,1,2,3000,1,9,4,0,1
65,0,2,500,1,10,3,0,2
59,0,2,2200,1,7,4,1,2
69,0,3,900,0,8,3,0,2
52,1,4,4200,1,9,4,0,0
80,1,1,1800,1,8,1,1,0
73,0,2,1300,1,8,2,0,1
29,1,2,2000,0,9,4,0,1
39,1,4,1200,1,7,3,0,2
44,1,4,3000,0,8,3,1,2
61,0,1,420,1,8,3,0,2
51,0,4,1900,1,9,4,0,1
56,1,4,1875,0,9,3,0,2
63,1,2,1000,0,10,2,0,1
42,0,4,2400,1,8,1,0,0
32,0,1,700,1,6,3,0,3
73,0,2,813,0,8,3,1,2
38,0,4,3225,1,8,3,0,2
80,0,1,1400,1,6,0,0,1
52,1,4,3000,1,9,3,1,0
32,0,4,3200,1,9,3,1,1
50,0,2,1400,1,6,2,0,0
79,0,1,920,0,6,3,0,0
45,1,2,1500,0,3,2,0,1
54,0,3,2100,1,6,2,1,2
66,0,2,1800,1,8,2,0,1
76,0,4,30,1,10,4,1,1
50,1,2,1600,0,7,3,0,1
28,0,2,1800,1,10,4,0,1
80,0,4,1200,1,9,4,0,1
53,1,1,1500,1,10,3,0,1
80,0,1,900,0,5,1,0,2
39,0,2,800,1,7,2,1,2
65,1,1,1800,1,8,3,0,0
29,0,2,1100,0,6,4,0,0
59,0,2,1300,0,8,4,0,1
58,1,2,3500,1,9,3,0,0
61,1,1,830,1,7,0,0,0
53,1,3,3500,1,9,3,0,1
56,0,1,2500,1,9,3,0,3
36,1,2,1680,0,8,2,0,3
38,1,2,1600,0,8,3,0,3
81,1,1,1313,0,6,1,0,3
49,1,1,2625,1,7,1,0,3
81,1,1,1500,1,6,3,0,0
