transmission,cylinder,car_size,year,mpg_city,mpg_highway,displacement
auto,5,midsize,1988,17.0,21.0,2.3124
manual,5,midsize,1988,18.0,23.0,2.3124
manual,5,midsize,1988,16.0,22.0,2.3124
lock-up,6,midsize,1988,13.0,17.0,3.4276
manual,6,midsize,1988,14.0,20.0,3.4276
lock-up,4,midsize,1988,21.0,29.0,2.4764
lock-up,6,midsize,1988,18.0,25.0,2.8372
lock-up,6,midsize,1988,18.0,26.0,2.8372
lock-up,6,midsize,1988,17.0,26.0,3.7884
lock-up,6,midsize,1988,18.0,26.0,2.8372
lock-up,6,midsize,1988,17.0,26.0,3.7884
lock-up,8,midsize,1988,15.0,22.0,4.51
lock-up,8,midsize,1988,15.0,22.0,4.51
manual,6,midsize,1988,18.0,26.0,2.8372
lock-up,6,midsize,1988,17.0,25.0,4.2968
lock-up,8,midsize,1988,15.0,22.0,5.002
lock-up,4,midsize,1988,21.0,29.0,2.4764
lock-up,6,midsize,1988,18.0,25.0,2.8372
lock-up,6,midsize,1988,18.0,26.0,2.8372
auto,4,midsize,1988,18.0,23.0,2.214
lock-up,4,midsize,1988,21.0,26.0,2.214
manual,4,midsize,1988,18.0,26.0,2.214
manual,4,midsize,1988,22.0,31.0,2.214
lock-up,8,midsize,1988,15.0,21.0,5.2152
lock-up,4,midsize,1988,21.0,26.0,2.4928
manual,4,midsize,1988,19.0,29.0,2.4928
auto,4,midsize,1988,18.0,23.0,2.214
lock-up,6,midsize,1988,17.0,24.0,2.9684
auto,4,midsize,1988,16.0,20.0,2.5092
manual,4,midsize,1988,16.0,24.0,2.5092
manual,4,midsize,1988,22.0,30.0,2.214
lock-up,4,midsize,1988,21.0,25.0,2.4928
lock-up,8,midsize,1988,14.0,17.0,5.2152
lock-up,8,midsize,1988,15.0,21.0,5.2152
lock-up,8,midsize,1988,11.0,14.0,5.2152
lock-up,4,midsize,1988,21.0,26.0,2.4928
lock-up,6,midsize,1988,17.0,24.0,2.9684
auto,4,midsize,1988,18.0,23.0,2.214
lock-up,4,midsize,1988,21.0,26.0,2.214
manual,4,midsize,1988,22.0,31.0,2.214
manual,4,midsize,1988,18.0,26.0,2.214
lock-up,4,midsize,1988,21.0,26.0,2.4928
manual,4,midsize,1988,19.0,29.0,2.4928
lock-up,4,midsize,1988,22.0,27.0,2.214
auto,4,midsize,1988,18.0,23.0,2.214
lock-up,4,midsize,1988,21.0,26.0,2.214
lock-up,4,midsize,1988,21.0,26.0,2.4928
auto,4,midsize,1988,18.0,24.0,2.1648
manual,4,midsize,1988,22.0,30.0,2.1648
auto,4,midsize,1988,18.0,24.0,2.4928
manual,4,midsize,1988,21.0,29.0,2.4928
lock-up,6,midsize,1988,18.0,26.0,2.9848
lock-up,6,midsize,1988,16.0,25.0,3.7884
lock-up,8,midsize,1988,15.0,22.0,4.9528
lock-up,6,midsize,1988,18.0,26.0,2.9848
lock-up,6,midsize,1988,16.0,25.0,3.7884
lock-up,4,midsize,1988,17.0,23.0,2.1812
lock-up,4,midsize,1988,19.0,26.0,2.1812
manual,4,midsize,1988,21.0,29.0,2.1812
manual,4,midsize,1988,18.0,26.0,2.1812
lock-up,6,midsize,1988,17.0,21.0,2.952
manual,6,midsize,1988,16.0,22.0,2.952
auto,8,midsize,1988,14.0,17.0,4.1984
auto,8,midsize,1988,11.0,15.0,5.5432
auto,6,midsize,1988,15.0,17.0,2.9684
lock-up,6,midsize,1988,15.0,21.0,2.9356
manual,6,midsize,1988,15.0,21.0,2.9356
lock-up,4,midsize,1988,21.0,29.0,2.4764
lock-up,6,midsize,1988,18.0,25.0,2.8372
lock-up,6,midsize,1988,18.0,26.0,2.8372
lock-up,6,midsize,1988,17.0,26.0,3.7884
lock-up,6,midsize,1988,18.0,26.0,2.8372
manual,6,midsize,1988,17.0,26.0,2.8372
lock-up,8,midsize,1988,16.0,23.0,5.0348
lock-up,6,midsize,1988,17.0,26.0,3.7884
auto,4,midsize,1988,18.0,23.0,2.214
lock-up,4,midsize,1988,21.0,26.0,2.214
lock-up,4,midsize,1988,21.0,26.0,2.4928
lock-up,8,midsize,1988,15.0,21.0,5.2152
lock-up,8,midsize,1988,14.0,17.0,5.2152
lock-up,8,midsize,1988,11.0,14.0,5.2152
lock-up,4,midsize,1988,22.0,27.0,2.214
manual,4,midsize,1988,22.0,30.0,2.214
lock-up,4,midsize,1988,21.0,25.0,2.4928
lock-up,6,midsize,1988,18.0,26.0,2.8372
manual,6,midsize,1988,17.0,26.0,2.8372
lock-up,4,midsize,1988,21.0,29.0,2.4764
lock-up,6,midsize,1988,18.0,25.0,2.8372
lock-up,6,midsize,1988,18.0,26.0,2.8372
manual,6,midsize,1988,18.0,26.0,2.8372
lock-up,6,midsize,1988,15.0,21.0,3.1324
auto,8,midsize,1988,8.0,10.0,6.7568
auto,8,midsize,1988,8.0,10.0,6.7568
manual,4,midsize,1988,18.0,23.0,2.3124
manual,4,midsize,1988,19.0,25.0,2.3124
auto,6,midsize,1988,15.0,19.0,2.8536
auto,4,midsize,1988,17.0,20.0,2.3124
lock-up,4,midsize,1988,18.0,24.0,2.3124
manual,5,midsize,1988,15.0,23.0,2.2304
auto,5,midsize,1988,16.0,20.0,2.3124
manual,5,midsize,1988,16.0,22.0,2.3124
lock-up,4,midsize,1988,19.0,26.0,2.4764
lock-up,6,midsize,1988,18.0,26.0,2.8372
lock-up,6,midsize,1988,17.0,26.0,3.7884
lock-up,6,midsize,1988,18.0,26.0,2.8372
manual,6,midsize,1988,17.0,26.0,2.8372
lock-up,4,midsize,1988,21.0,29.0,2.4764
auto,4,midsize,1988,18.0,23.0,2.214
lock-up,4,midsize,1988,21.0,26.0,2.4928
auto,4,midsize,1988,16.0,20.0,2.5092
manual,4,midsize,1988,16.0,24.0,2.5092
lock-up,4,midsize,1988,21.0,26.0,2.214
manual,4,midsize,1988,22.0,30.0,2.214
lock-up,4,midsize,1988,21.0,26.0,2.4928
manual,4,midsize,1988,21.0,30.0,2.1648
auto,4,midsize,1988,17.0,22.0,2.1648
lock-up,6,midsize,1988,18.0,26.0,2.9848
lock-up,6,midsize,1988,16.0,25.0,3.7884
lock-up,6,midsize,1988,17.0,24.0,2.9848
lock-up,6,midsize,1988,15.0,22.0,3.7884
lock-up,6,midsize,1988,18.0,26.0,2.9848
lock-up,6,midsize,1988,17.0,24.0,2.9848
lock-up,6,midsize,1988,15.0,22.0,3.7884
auto,4,midsize,1988,18.0,22.0,2.3124
auto,6,midsize,1988,15.0,19.0,2.9684
lock-up,4,midsize,1988,18.0,23.0,1.9680000000000002
manual,4,midsize,1988,19.0,25.0,1.9680000000000002
lock-up,4,midsize,1988,19.0,26.0,2.4764
lock-up,6,midsize,1988,18.0,26.0,2.8372
lock-up,6,midsize,1988,17.0,26.0,3.7884
lock-up,4,midsize,1988,17.0,20.0,2.1648
manual,4,midsize,1988,16.0,20.0,2.1648
lock-up,4,midsize,1988,16.0,20.0,2.1484
lock-up,4,midsize,1988,21.0,26.0,2.4928
lock-up,4,midsize,1988,21.0,26.0,2.214
manual,4,midsize,1988,22.0,31.0,2.214
lock-up,4,midsize,1988,19.0,26.0,2.4764
lock-up,6,midsize,1988,18.0,26.0,2.8372
manual,6,midsize,1988,17.0,26.0,2.8372
auto,4,midsize,1988,18.0,22.0,2.3124
manual,4,midsize,1988,19.0,26.0,2.3124
auto,4,midsize,1988,17.0,20.0,2.3124
lock-up,4,midsize,1988,18.0,24.0,2.3124
manual,4,midsize,1988,18.0,23.0,2.3124
manual,4,midsize,1988,19.0,26.0,2.3124
manual,3,small,1988,44.0,51.0,1.0004
manual,3,small,1988,31.0,39.0,1.0004
manual,8,small,1988,11.0,17.0,3.1816
manual,4,small,1988,21.0,29.0,1.3940000000000001
manual,4,small,1988,21.0,29.0,1.3940000000000001
manual,3,small,1988,31.0,39.0,1.0004
auto,4,small,1988,17.0,20.0,2.4764
manual,6,small,1988,16.0,23.0,3.1652
manual,6,small,1988,15.0,20.0,3.2964
auto,4,small,1988,18.0,21.0,2.4764
manual,4,small,1988,18.0,26.0,2.4764
auto,8,small,1988,15.0,20.0,4.9528
manual,8,small,1988,14.0,21.0,4.9528
manual,4,small,1988,18.0,26.0,2.4764
manual,4,small,1988,17.0,24.0,2.4764
manual,4,small,1988,17.0,25.0,2.4764
manual,3,small,1988,31.0,39.0,1.0004
lock-up,4,small,1988,22.0,29.0,2.0008
manual,4,small,1988,23.0,29.0,2.0008
manual,6,small,1988,15.0,24.0,3.1652
auto,4,small,1988,19.0,22.0,1.7876
manual,4,small,1988,21.0,25.0,1.7876
manual,6,large,1988,17.0,24.0,2.8372
lock-up,4,large,1988,18.0,26.0,2.4764
manual,4,large,1988,21.0,27.0,2.4764
lock-up,6,large,1988,15.0,23.0,2.8372
manual,6,large,1988,17.0,23.0,2.8372
lock-up,6,large,1988,16.0,21.0,4.2968
auto,4,large,1988,21.0,24.0,2.0008
manual,4,large,1988,21.0,26.0,2.0008
auto,4,large,1988,18.0,20.0,2.5584
manual,4,large,1988,18.0,23.0,2.5584
lock-up,4,large,1988,18.0,23.0,2.1812
manual,4,large,1988,18.0,24.0,2.1812
manual,4,large,1988,19.0,24.0,2.0008
lock-up,4,large,1988,19.0,25.0,2.296
manual,4,large,1988,21.0,26.0,2.296
lock-up,6,large,1988,16.0,20.0,2.9356
manual,6,large,1988,17.0,22.0,2.9356
lock-up,4,large,1988,18.0,26.0,2.4764
manual,4,large,1988,21.0,27.0,2.4764
lock-up,6,large,1988,15.0,23.0,2.8372
manual,6,large,1988,17.0,23.0,2.8372
manual,6,large,1988,17.0,24.0,2.8372
lock-up,6,large,1988,16.0,21.0,4.2968
manual,4,large,1988,17.0,22.0,2.5584
lock-up,4,large,1988,17.0,21.0,2.5584
manual,4,large,1988,19.0,22.0,2.2632
lock-up,4,large,1988,18.0,23.0,2.1812
manual,4,large,1988,16.0,22.0,2.5584
manual,4,large,1988,18.0,23.0,2.1812
manual,4,large,1988,18.0,24.0,2.1812
lock-up,4,large,1988,16.0,20.0,2.5584
auto,4,large,1988,21.0,24.0,2.0008
manual,4,large,1988,21.0,26.0,2.0008
auto,4,large,1988,18.0,20.0,2.5584
manual,4,large,1988,18.0,23.0,2.5584
manual,6,large,1988,15.0,22.0,2.9684
lock-up,4,large,1988,18.0,24.0,2.3944
manual,4,large,1988,18.0,22.0,2.3944
manual,4,large,1988,19.0,24.0,2.3944
lock-up,6,large,1988,16.0,20.0,2.9684
manual,4,large,1988,18.0,21.0,2.3616
manual,4,large,1988,21.0,25.0,2.3616
manual,4,large,1988,18.0,23.0,2.3616
manual,4,large,1988,18.0,23.0,2.3616
manual,4,large,1988,18.0,22.0,2.3616
manual,4,large,1988,21.0,25.0,2.3616
auto,4,large,1988,19.0,21.0,2.3616
manual,6,large,1988,16.0,21.0,2.9356
lock-up,6,large,1988,15.0,20.0,2.9356
manual,4,large,1988,15.0,20.0,2.5584
manual,4,large,1988,19.0,25.0,2.296
lock-up,4,large,1988,15.0,17.0,2.5584
manual,4,large,1988,15.0,20.0,2.5584
lock-up,4,midsize,1988,22.0,29.0,1.9844
manual,4,midsize,1988,22.0,33.0,1.9844
lock-up,4,midsize,1988,21.0,29.0,2.0008
manual,4,midsize,1988,23.0,35.0,2.0008
lock-up,6,midsize,1988,18.0,25.0,2.8372
manual,6,midsize,1988,18.0,26.0,2.8372
lock-up,4,midsize,1988,22.0,29.0,1.9844
manual,4,midsize,1988,22.0,33.0,1.9844
manual,4,midsize,1988,26.0,32.0,1.476
lock-up,4,midsize,1988,21.0,22.0,2.0008
manual,4,midsize,1988,21.0,26.0,2.0008
lock-up,4,midsize,1988,24.0,27.0,1.476
auto,4,midsize,1988,21.0,27.0,1.8532
manual,4,midsize,1988,28.0,38.0,1.8532
manual,4,midsize,1988,24.0,33.0,1.8532
lock-up,4,midsize,1988,24.0,30.0,1.4924
lock-up,4,midsize,1988,24.0,30.0,1.4924
manual,4,midsize,1988,28.0,33.0,1.4924
manual,4,midsize,1988,22.0,25.0,1.5908
auto,4,midsize,1988,22.0,26.0,1.5908
manual,4,midsize,1988,24.0,32.0,1.5908
auto,4,midsize,1988,21.0,26.0,1.6072
manual,4,midsize,1988,24.0,30.0,1.6072
lock-up,4,midsize,1988,24.0,27.0,1.476
manual,4,midsize,1988,26.0,32.0,1.476
lock-up,4,midsize,1988,21.0,22.0,2.0008
lock-up,6,midsize,1988,16.0,22.0,2.9684
lock-up,4,midsize,1988,23.0,26.0,1.6072
manual,4,midsize,1988,24.0,32.0,1.6072
manual,4,midsize,1988,22.0,26.0,1.6072
manual,4,midsize,1988,21.0,29.0,1.3940000000000001
manual,4,midsize,1988,22.0,33.0,1.9844
lock-up,4,midsize,1988,22.0,29.0,1.9844
lock-up,4,midsize,1988,23.0,29.0,2.0008
manual,4,midsize,1988,23.0,35.0,2.0008
lock-up,4,midsize,1988,21.0,22.0,2.0008
manual,4,midsize,1988,21.0,26.0,2.0008
lock-up,4,midsize,1988,24.0,27.0,1.476
manual,4,midsize,1988,26.0,32.0,1.476
lock-up,4,midsize,1988,23.0,29.0,2.0008
manual,4,midsize,1988,23.0,35.0,2.0008
auto,4,midsize,1988,19.0,22.0,1.7876
lock-up,4,midsize,1988,22.0,25.0,1.7876
manual,4,midsize,1988,22.0,29.0,1.7876
lock-up,4,midsize,1988,18.0,25.0,1.7876
manual,4,midsize,1988,18.0,23.0,1.7876
manual,4,midsize,1988,26.0,32.0,1.5908
auto,4,midsize,1988,21.0,23.0,1.4596
lock-up,4,midsize,1988,21.0,26.0,1.5908
lock-up,4,midsize,1988,22.0,27.0,2.0008
manual,4,midsize,1988,23.0,29.0,2.0008
lock-up,6,midsize,1988,17.0,22.0,2.4928
manual,4,midsize,1988,21.0,26.0,1.5908
lock-up,4,midsize,1988,23.0,27.0,1.5908
manual,4,midsize,1988,23.0,27.0,1.4596
manual,5,midsize,1988,15.0,20.0,2.2304
manual,5,midsize,1988,17.0,21.0,2.2304
manual,4,midsize,1988,22.0,27.0,1.7876
auto,5,midsize,1988,16.0,20.0,2.2304
manual,8,large,1988,18.0,20.0,6.2156
auto,6,large,1988,15.0,17.0,4.2968
lock-up,6,large,1988,15.0,20.0,4.2968
manual,6,large,1988,15.0,20.0,4.2968
manual,6,large,1988,15.0,19.0,4.2968
manual,6,large,1988,15.0,21.0,4.2968
auto,8,large,1988,14.0,16.0,5.002
lock-up,8,large,1988,14.0,20.0,5.002
manual,8,large,1988,14.0,20.0,5.002
lock-up,8,large,1988,14.0,19.0,5.74
manual,8,large,1988,13.0,15.0,5.74
manual,8,large,1988,11.0,17.0,5.74
lock-up,8,large,1988,17.0,23.0,6.2156
auto,6,large,1988,15.0,17.0,4.2968
lock-up,6,large,1988,15.0,20.0,4.2968
manual,6,large,1988,15.0,17.0,4.2968
manual,6,large,1988,15.0,21.0,4.2968
auto,8,large,1988,13.0,15.0,5.002
lock-up,8,large,1988,13.0,19.0,5.002
manual,8,large,1988,13.0,19.0,5.002
lock-up,8,large,1988,13.0,17.0,5.74
manual,8,large,1988,13.0,15.0,5.74
manual,8,large,1988,11.0,17.0,5.74
lock-up,8,large,1988,16.0,23.0,6.2156
manual,8,large,1988,18.0,21.0,6.2156
auto,8,large,1988,10.0,12.0,5.904
manual,8,large,1988,10.0,13.0,5.904
manual,8,large,1988,11.0,15.0,5.2152
auto,8,large,1988,11.0,13.0,5.2152
lock-up,8,large,1988,13.0,17.0,5.2152
manual,8,large,1988,11.0,15.0,5.2152
auto,8,large,1988,10.0,12.0,5.904
manual,8,large,1988,10.0,13.0,5.904
lock-up,6,large,1988,14.0,17.0,3.9196
manual,6,large,1988,14.0,16.0,3.9196
manual,6,large,1988,11.0,17.0,3.9196
auto,8,large,1988,11.0,13.0,5.2152
lock-up,8,large,1988,13.0,16.0,5.2152
lock-up,8,large,1988,13.0,17.0,5.2152
manual,4,large,1988,21.0,26.0,2.214
lock-up,6,large,1988,15.0,19.0,3.9196
lock-up,6,large,1988,15.0,19.0,3.9196
manual,6,large,1988,15.0,20.0,3.9196
lock-up,6,large,1988,14.0,17.0,3.9196
manual,6,large,1988,14.0,16.0,3.9196
manual,8,large,1988,13.0,15.0,4.9528
manual,8,large,1988,13.0,17.0,4.9528
manual,6,large,1988,14.0,17.0,4.92
auto,8,large,1988,11.0,13.0,5.7564
auto,6,large,1988,14.0,16.0,4.92
manual,6,large,1988,14.0,16.0,4.92
manual,8,large,1988,13.0,15.0,4.9528
lock-up,8,large,1988,13.0,17.0,4.9528
manual,6,large,1988,13.0,16.0,4.92
manual,6,large,1988,14.0,17.0,4.92
auto,8,large,1988,13.0,14.0,4.9528
lock-up,8,large,1988,13.0,17.0,4.9528
manual,8,large,1988,13.0,17.0,4.9528
auto,8,large,1988,11.0,13.0,5.7564
auto,6,large,1988,15.0,17.0,4.92
lock-up,6,large,1988,15.0,19.0,4.92
manual,6,large,1988,15.0,17.0,4.92
manual,6,large,1988,15.0,19.0,4.92
manual,8,large,1988,14.0,20.0,5.002
lock-up,8,large,1988,14.0,20.0,5.002
auto,8,large,1988,14.0,16.0,5.002
manual,6,large,1988,15.0,21.0,4.2968
manual,6,large,1988,15.0,19.0,4.2968
lock-up,8,large,1988,14.0,19.0,5.74
manual,8,large,1988,11.0,17.0,5.74
manual,8,large,1988,13.0,15.0,5.74
lock-up,8,large,1988,17.0,23.0,6.2156
manual,8,large,1988,18.0,20.0,6.2156
manual,6,large,1988,15.0,20.0,4.2968
auto,6,large,1988,15.0,17.0,4.2968
lock-up,6,large,1988,15.0,20.0,4.2968
auto,6,large,1988,15.0,17.0,4.2968
lock-up,6,large,1988,15.0,20.0,4.2968
manual,6,large,1988,15.0,17.0,4.2968
lock-up,8,large,1988,13.0,19.0,5.002
manual,8,large,1988,18.0,21.0,6.2156
manual,6,large,1988,15.0,21.0,4.2968
auto,8,large,1988,13.0,15.0,5.002
manual,8,large,1988,13.0,19.0,5.002
lock-up,8,large,1988,13.0,17.0,5.74
manual,8,large,1988,13.0,15.0,5.74
manual,8,large,1988,11.0,17.0,5.74
lock-up,8,large,1988,16.0,23.0,6.2156
manual,4,large,1988,16.0,20.0,2.5584
lock-up,4,large,1988,16.0,22.0,2.46
manual,6,large,1988,16.0,22.0,3.9688
manual,4,large,1988,19.0,23.0,2.46
manual,4,large,1988,18.0,22.0,2.46
lock-up,6,large,1988,15.0,20.0,3.9688
auto,4,large,1988,19.0,21.0,2.3616
manual,4,large,1988,17.0,20.0,2.3616
auto,6,large,1988,14.0,16.0,4.2968
lock-up,6,large,1988,15.0,19.0,4.2968
manual,6,large,1988,15.0,17.0,4.2968
manual,6,large,1988,15.0,19.0,4.2968
auto,8,large,1988,11.0,13.0,5.002
lock-up,8,large,1988,13.0,16.0,5.002
manual,8,large,1988,11.0,16.0,5.002
lock-up,8,large,1988,11.0,16.0,5.74
manual,8,large,1988,11.0,14.0,5.74
manual,8,large,1988,11.0,16.0,5.74
lock-up,8,large,1988,15.0,20.0,6.2156
manual,8,large,1988,16.0,17.0,6.2156
auto,6,large,1988,14.0,16.0,4.2968
lock-up,6,large,1988,15.0,17.0,4.2968
manual,6,large,1988,15.0,17.0,4.2968
manual,6,large,1988,15.0,19.0,4.2968
auto,8,large,1988,11.0,13.0,5.002
lock-up,8,large,1988,11.0,16.0,5.002
manual,8,large,1988,11.0,16.0,5.002
lock-up,6,large,1988,15.0,21.0,4.2968
lock-up,8,large,1988,11.0,17.0,5.74
manual,8,large,1988,11.0,14.0,5.74
manual,8,large,1988,11.0,15.0,5.74
lock-up,8,large,1988,15.0,20.0,6.2156
manual,8,large,1988,16.0,17.0,6.2156
lock-up,4,large,1988,18.0,24.0,2.4764
manual,4,large,1988,18.0,25.0,2.4764
lock-up,6,large,1988,15.0,22.0,2.8372
manual,6,large,1988,16.0,21.0,2.8372
manual,6,large,1988,16.0,22.0,2.8372
auto,8,large,1988,11.0,13.0,5.2152
manual,8,large,1988,11.0,14.0,5.2152
auto,8,large,1988,8.0,10.0,5.904
manual,8,large,1988,10.0,11.0,5.904
lock-up,6,large,1988,14.0,17.0,3.9196
lock-up,6,large,1988,14.0,17.0,3.9196
manual,6,large,1988,15.0,21.0,3.9196
auto,4,large,1988,16.0,17.0,2.5584
manual,4,large,1988,17.0,20.0,2.5584
auto,8,large,1988,11.0,13.0,5.2152
manual,8,large,1988,11.0,14.0,5.2152
auto,8,large,1988,8.0,10.0,5.904
manual,8,large,1988,10.0,11.0,5.904
auto,8,large,1988,11.0,13.0,5.7564
manual,6,large,1988,14.0,17.0,4.92
lock-up,8,large,1988,11.0,16.0,4.9528
auto,8,large,1988,10.0,13.0,5.7564
auto,6,large,1988,14.0,15.0,4.92
manual,6,large,1988,15.0,16.0,4.92
manual,6,large,1988,14.0,17.0,4.92
manual,6,large,1988,14.0,17.0,4.92
auto,8,large,1988,11.0,12.0,4.9528
auto,8,large,1988,11.0,13.0,4.9528
lock-up,8,large,1988,11.0,16.0,4.9528
manual,8,large,1988,11.0,14.0,4.9528
manual,8,large,1988,11.0,16.0,5.74
lock-up,8,large,1988,15.0,20.0,6.2156
manual,8,large,1988,16.0,17.0,6.2156
auto,6,large,1988,14.0,16.0,4.2968
lock-up,6,large,1988,15.0,17.0,4.2968
manual,6,large,1988,15.0,17.0,4.2968
manual,6,large,1988,15.0,19.0,4.2968
auto,8,large,1988,11.0,13.0,5.002
lock-up,8,large,1988,11.0,16.0,5.002
manual,8,large,1988,11.0,16.0,5.002
lock-up,8,large,1988,11.0,17.0,5.74
manual,8,large,1988,11.0,14.0,5.74
manual,8,large,1988,11.0,15.0,5.74
lock-up,8,large,1988,15.0,20.0,6.2156
manual,8,large,1988,16.0,17.0,6.2156
lock-up,4,large,1988,18.0,24.0,2.4764
lock-up,6,large,1988,15.0,22.0,2.8372
manual,6,large,1988,16.0,21.0,2.8372
manual,6,large,1988,16.0,22.0,2.8372
lock-up,6,large,1988,15.0,21.0,4.2968
lock-up,6,large,1988,15.0,19.0,4.2968
manual,6,large,1988,15.0,17.0,4.2968
manual,6,large,1988,15.0,19.0,4.2968
auto,8,large,1988,11.0,13.0,5.002
manual,8,large,1988,11.0,16.0,5.002
lock-up,8,large,1988,11.0,16.0,5.74
manual,8,large,1988,11.0,14.0,5.74
manual,4,large,1988,18.0,25.0,2.4764
auto,6,large,1988,14.0,16.0,4.2968
lock-up,8,large,1988,13.0,16.0,5.002
lock-up,4,large,1988,15.0,17.0,2.5584
manual,4,large,1988,15.0,17.0,2.5584
lock-up,4,large,1988,16.0,21.0,2.46
manual,4,large,1988,19.0,23.0,2.46
manual,4,large,1988,18.0,21.0,2.46
lock-up,6,large,1988,15.0,20.0,3.9688
manual,6,large,1988,16.0,21.0,3.9688
manual,6,large,1988,15.0,17.0,4.2312
auto,8,large,1988,10.0,12.0,5.904
auto,8,large,1988,10.0,12.0,5.904
manual,4,large,1988,17.0,20.0,2.5584
auto,4,large,1988,16.0,17.0,2.5584
manual,4,large,1988,15.0,20.0,2.3944
lock-up,6,large,1988,14.0,16.0,2.9684
manual,6,large,1988,14.0,17.0,2.9684
lock-up,4,large,1988,16.0,20.0,2.3616
manual,4,large,1988,18.0,22.0,2.3616
lock-up,6,large,1988,14.0,17.0,2.952
manual,6,large,1988,15.0,19.0,2.952
lock-up,4,small,1988,22.0,26.0,1.5908
manual,4,small,1988,23.0,27.0,1.5908
auto,6,small,1988,16.0,20.0,2.4928
manual,6,small,1988,16.0,22.0,2.4928
manual,6,small,1988,16.0,23.0,2.9848
lock-up,8,small,1988,7.0,10.0,5.3464
lock-up,8,small,1988,7.0,10.0,5.3464
manual,8,small,1988,7.0,10.0,5.3464
auto,4,small,1988,21.0,25.0,1.9844
manual,4,small,1988,19.0,27.0,1.9844
manual,5,small,1988,18.0,23.0,2.3124
manual,5,small,1988,16.0,22.0,2.3124
manual,4,small,1988,15.0,26.0,2.296
manual,4,small,1988,15.0,26.0,2.296
lock-up,6,small,1988,16.0,21.0,2.4928
lock-up,6,small,1988,17.0,21.0,2.4928
manual,6,small,1988,15.0,21.0,2.4928
manual,6,small,1988,16.0,22.0,2.4928
lock-up,6,small,1988,18.0,22.0,2.6896
manual,6,small,1988,18.0,24.0,2.6896
lock-up,6,small,1988,13.0,17.0,3.4276
manual,6,small,1988,14.0,19.0,3.4276
manual,6,small,1988,9.0,17.0,3.4604
manual,8,small,1988,15.0,24.0,5.002
lock-up,8,small,1988,15.0,23.0,5.74
lock-up,6,small,1988,18.0,25.0,2.8372
manual,6,small,1988,18.0,26.0,2.8372
auto,4,small,1988,26.0,30.0,1.476
manual,4,small,1988,31.0,37.0,1.476
manual,4,small,1988,24.0,33.0,1.476
auto,3,small,1988,32.0,36.0,1.0004
manual,3,small,1988,37.0,44.0,1.0004
lock-up,6,small,1988,17.0,25.0,2.8372
manual,6,small,1988,15.0,25.0,2.8372
lock-up,8,small,1988,15.0,24.0,5.002
lock-up,8,small,1988,15.0,23.0,5.002
manual,8,small,1988,15.0,23.0,5.002
lock-up,4,small,1988,21.0,26.0,2.4928
manual,4,small,1988,19.0,29.0,2.4928
lock-up,4,small,1988,16.0,22.0,2.5584
manual,4,small,1988,16.0,20.0,2.5584
auto,4,small,1988,18.0,23.0,2.214
manual,4,small,1988,18.0,26.0,2.214
manual,3,small,1988,32.0,38.0,1.0004
lock-up,4,small,1988,26.0,29.0,1.476
manual,4,small,1988,29.0,35.0,1.476
manual,4,small,1988,28.0,33.0,1.476
lock-up,4,small,1988,21.0,24.0,1.6072
manual,4,small,1988,22.0,29.0,1.6072
auto,4,small,1988,18.0,23.0,2.214
manual,4,small,1988,18.0,26.0,2.214
lock-up,4,small,1988,21.0,26.0,2.4928
manual,4,small,1988,19.0,29.0,2.4928
manual,4,small,1988,32.0,36.0,1.3284
manual,4,small,1988,33.0,39.0,1.3284
lock-up,4,small,1988,18.0,25.0,2.296
manual,4,small,1988,22.0,27.0,2.296
lock-up,8,small,1988,16.0,25.0,4.9528
manual,8,small,1988,15.0,22.0,4.9528
manual,4,small,1988,30.0,35.0,1.4924
manual,4,small,1988,30.0,35.0,1.4924
manual,4,small,1988,28.0,33.0,1.4924
manual,4,small,1988,28.0,33.0,1.4924
lock-up,4,small,1988,18.0,24.0,1.9516
manual,4,small,1988,21.0,25.0,1.9516
lock-up,4,small,1988,18.0,25.0,1.9516
manual,4,small,1988,21.0,25.0,1.9516
lock-up,4,small,1988,25.0,32.0,1.4924
lock-up,4,small,1988,24.0,30.0,1.4924
lock-up,4,small,1988,24.0,30.0,1.4924
lock-up,4,small,1988,23.0,29.0,1.476
manual,4,small,1988,23.0,30.0,1.476
manual,4,small,1988,24.0,33.0,1.476
auto,4,small,1988,26.0,30.0,1.476
manual,4,small,1988,31.0,37.0,1.476
manual,4,small,1988,28.0,35.0,1.476
manual,4,small,1988,24.0,33.0,1.476
lock-up,4,small,1988,18.0,24.0,1.9844
manual,4,small,1988,18.0,25.0,1.9844
lock-up,4,small,1988,18.0,24.0,2.2632
manual,4,small,1988,18.0,24.0,2.2632
auto,12,small,1988,11.0,16.0,5.3464
manual,6,small,1988,16.0,24.0,2.6076
auto,6,small,1988,16.0,20.0,2.9684
auto,5,small,1988,26.0,31.0,2.4928
auto,4,small,1988,18.0,22.0,2.296
manual,4,small,1988,18.0,26.0,2.296
auto,6,small,1988,18.0,21.0,2.6076
manual,4,small,1988,19.0,26.0,1.804
lock-up,4,small,1988,21.0,23.0,2.0008
manual,4,small,1988,21.0,29.0,2.0008
lock-up,4,small,1988,25.0,29.0,1.476
manual,4,small,1988,29.0,35.0,1.476
manual,4,small,1988,28.0,33.0,1.476
lock-up,4,small,1988,21.0,24.0,1.6072
manual,4,small,1988,22.0,29.0,1.6072
lock-up,4,small,1988,23.0,29.0,1.476
