transmission,cylinder,car_size,year,mpg_city,mpg_highway,displacement
manual,4,small,1985,22.0,32.0,1.6072
auto,4,small,1985,23.0,29.0,1.8532
manual,4,small,1985,28.0,39.0,1.8532
manual,4,small,1985,29.0,39.0,1.6072
auto,4,small,1985,16.0,20.0,2.296
manual,4,small,1985,17.0,24.0,2.296
lock-up,6,small,1985,17.0,20.0,3.7884
auto,4,small,1985,16.0,20.0,2.296
manual,4,small,1985,17.0,24.0,2.296
lock-up,6,small,1985,16.0,20.0,3.7884
lock-up,8,small,1985,15.0,22.0,4.9528
auto,4,small,1985,22.0,27.0,1.6072
manual,4,small,1985,23.0,32.0,1.6072
manual,4,small,1985,22.0,32.0,1.6072
auto,4,small,1985,23.0,29.0,1.8532
manual,4,small,1985,24.0,33.0,1.8532
manual,4,small,1985,23.0,33.0,1.8532
manual,4,small,1985,31.0,39.0,2.0008
manual,4,small,1985,31.0,39.0,2.0008
auto,4,small,1985,21.0,26.0,2.296
manual,4,small,1985,21.0,30.0,2.296
manual,4,small,1985,19.0,27.0,2.296
auto,4,small,1985,21.0,26.0,2.0008
manual,4,small,1985,23.0,29.0,2.0008
manual,4,small,1985,31.0,38.0,2.0008
auto,4,small,1985,21.0,26.0,2.0008
manual,4,small,1985,23.0,29.0,2.0008
manual,4,small,1985,31.0,38.0,2.0008
auto,5,small,1985,18.0,20.0,3.0012
auto,5,small,1985,19.0,23.0,3.0012
auto,5,small,1985,19.0,23.0,3.0012
auto,5,small,1985,18.0,20.0,3.0012
auto,8,small,1985,15.0,17.0,3.8376
auto,8,small,1985,13.0,15.0,4.9692
auto,5,small,1985,18.0,20.0,3.0012
auto,5,small,1985,18.0,20.0,3.0012
auto,8,small,1985,15.0,17.0,3.8376
auto,8,small,1985,13.0,15.0,4.9692
auto,4,small,1985,16.0,20.0,2.296
manual,4,small,1985,17.0,22.0,2.296
auto,4,small,1985,16.0,20.0,2.296
manual,4,small,1985,17.0,22.0,2.296
lock-up,4,small,1985,18.0,24.0,2.3452
lock-up,4,small,1985,18.0,24.0,2.3452
lock-up,4,small,1985,18.0,24.0,2.3452
lock-up,6,small,1985,15.0,20.0,2.9684
manual,6,small,1985,17.0,22.0,2.9684
lock-up,4,small,1985,21.0,26.0,1.9680000000000002
manual,4,small,1985,23.0,30.0,1.9680000000000002
lock-up,6,small,1985,15.0,20.0,2.9684
